Id,y
50100,1.7909101869608701
50101,2.0297791560257803
50102,1.6900600075381629
50103,2.343129413238776
50104,1.7600090903504704
50105,1.6272853519159458
50106,2.0664880984920444
50107,2.398399098775224
50108,1.6701606657395285
50109,1.6588830328595865
50110,1.275890748749024
50111,1.7653497851346156
50112,1.6323839747028437
50113,1.6883254268137051
50114,1.800218876409195
50115,2.0733588559841998
50116,1.527397054414136
50117,1.6949623740706912
50118,2.033290841712514
50119,1.6214160160322493
50120,2.2044327137399353
50121,1.983147291119364
50122,1.2469452357516655
50123,2.043410427278989
50124,1.526400629494466
50125,1.9225424387542827
50126,1.5583228142606433
50127,1.6960713649236094
50128,1.5812022938303851
50129,1.8715962223109095
50130,2.023942081969219
50131,2.0101892945055546
50132,1.5124110207890844
50133,1.638079183794753
50134,1.7999136919569914
50135,1.894366149665304
50136,1.8272983995204974
50137,2.0547336445990148
50138,1.8343845480866694
50139,1.8426401797854357
50140,2.0218527687933747
50141,2.38089675770334
50142,1.969011326684809
50143,1.5121053712109145
50144,1.7898919711944004
50145,2.1689865747131307
50146,1.5674060238944154
50147,2.5015494877883686
50148,1.79278910426261
50149,1.973188956166256
50150,1.7349189375464604
50151,1.861588287209166
50152,1.7740686718006131
50153,2.021312330330437
50154,1.9020047223486785
50155,2.2888877384087127
50156,1.966986941355879
50157,1.3267845954640975
50158,2.0092212023571836
50159,1.4096212537820065
50160,1.6786662136222912
50161,2.050659827932
50162,2.262758054761001
50163,2.199691073177812
50164,1.7777999628036287
50165,1.453629736608443
50166,1.1221402558547737
50167,1.7489122040143936
50168,1.9269880390122172
50169,1.1522482566172485
50170,1.9625662101972132
50171,2.141110323472585
50172,1.3309054888501457
50173,1.980897080918302
50174,2.1785376008769948
50175,1.6109405262023202
50176,2.5003346572249168
50177,2.216394781983542
50178,2.2525175958854717
50179,1.8776465205465858
50180,2.5157676162387617
50181,1.8123237835906814
50182,2.1495788162277716
50183,1.5155939085340666
50184,2.4315366252531536
50185,1.6073285399646515
50186,2.0231018579730033
50187,2.0969059954036187
50188,2.067660415120221
50189,2.306066051474067
50190,2.354350451252989
50191,2.3770359035266395
50192,2.135508286675009
50193,2.387589812652676
50194,1.7685889852701475
50195,1.6810273603540136
50196,2.0344460306553174
50197,2.039818713464978
50198,1.8893198144177088
50199,2.1955233036899795
50200,1.7601290293514946
50201,2.6166471959787216
50202,1.5355217343207723
50203,1.6484830772305283
50204,1.4520035413425063
50205,1.4057406085530726
50206,1.902984062642945
50207,2.040573743852047
50208,1.9326894900255862
50209,1.6177211411903176
50210,2.053736926952972
50211,1.4737757349788208
50212,1.9413014649397446
50213,2.3647555891029555
50214,1.6570534370338432
50215,1.3596829566824447
50216,1.3807144691680335
50217,1.4820213913096651
50218,1.5368860374225566
50219,2.1691382299898745
50220,2.505460204405013
50221,1.813173702180654
50222,2.0439347794779668
50223,1.9547575161050883
50224,1.5630324508361575
50225,2.0676000926492666
50226,1.8275292327950279
50227,2.271161304257257
50228,1.9375361384623222
50229,2.2666100120759705
50230,1.6199628287377603
50231,1.5935210150104542
50232,2.196220292259426
50233,2.1981772180199535
50234,1.6740744445720388
50235,1.2929900731561528
50236,1.7057688985848838
50237,1.65326937061959
50238,1.830417682492019
50239,2.1441470810093524
50240,1.8998908544190805
50241,1.387737691479959
50242,2.255399173951991
50243,1.7778539926804768
50244,1.3868253882546124
50245,1.8008055050214367
50246,2.13958512804847
50247,1.3255951276343563
50248,2.6248971988879504
50249,2.2354773816566205
50250,2.137410215940008
50251,1.7420341229697112
50252,2.3387095466661663
50253,1.9648318056658507
50254,1.887698763370956
50255,1.5265756904162604
50256,2.120894023428905
50257,2.0266064660278733
50258,1.8062987792318097
50259,2.2885532445099876
50260,1.2615901686273467
50261,2.3658535646481766
50262,1.5930477024282226
50263,1.7333713465476652
50264,1.2125469572818268
50265,1.713654296918154
50266,1.7762265897350566
50267,2.2756950606976876
50268,1.7573300720312304
50269,1.40067123023519
50270,2.0541205852108355
50271,2.0075944481600043
50272,2.0871719642118656
50273,2.161987901758156
50274,2.0208994356293726
50275,1.4771380646719283
50276,2.024874233763116
50277,1.5756221075622676
50278,1.6168429403505193
50279,1.7344033942214434
50280,2.257133831392112
50281,1.3749556102127087
50282,2.300553449138633
50283,2.010066281236032
50284,1.7118968864854534
50285,1.5420472171349733
50286,1.7745063643033205
50287,2.5611646790065947
50288,2.2821708855446996
50289,1.5180147354572444
50290,2.0573255051495547
50291,2.2355759927791006
50292,1.5560297752320906
50293,2.4246707480563146
50294,1.2234910442783953
50295,1.754584850778464
50296,2.274369751454895
50297,1.841199335398402
50298,2.0277068442115525
50299,1.9648470856403684
50300,1.6842970107688764
50301,1.8972311472481262
50302,2.1523393364420116
50303,1.9642269006042863
50304,1.8013825057066857
50305,1.019345737582512
50306,1.2240697763551065
50307,1.846445706303438
50308,2.038001244027855
50309,1.288966064814808
50310,2.4268138637578076
50311,1.561822929503645
50312,2.2397194111777115
50313,2.440735150753225
50314,1.6490728964969072
50315,1.8843568068129564
50316,1.5480817993459812
50317,1.3548303071718468
50318,2.299162499186899
50319,2.0033870521228323
50320,2.080324364959342
50321,2.0943880750211026
50322,2.3532107157751607
50323,1.364636965483843
50324,1.8298893752370216
50325,2.0655271008713054
50326,1.8362248279551068
50327,1.8127661126234837
50328,1.9070318165378595
50329,1.6141680375974836
50330,1.7111991375811417
50331,1.9698325833227628
50332,1.374109062916654
50333,1.5892896429954533
50334,1.811542398830868
